iter	Passed	Remaining
0	0	65
1	1	59
2	1	64
3	2	66
4	3	67
5	4	63
6	4	59
7	4	57
8	5	55
9	5	52
10	6	51
11	6	51
12	7	51
13	8	50
14	8	49
15	9	49
16	10	49
17	10	49
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	13	44
24	14	43
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	22	34
39	22	33
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
