iter	Passed	Remaining
0	133	133264
1	135	67516
2	138	45973
3	139	34750
4	140	27927
5	141	23479
6	144	20544
7	148	18404
8	150	16620
9	152	15091
10	154	13850
11	155	12785
12	155	11833
13	156	11055
14	158	10380
15	158	9772
16	159	9241
17	160	8775
18	161	8335
19	162	7981
20	163	7640
21	164	7324
22	165	7030
23	166	6761
24	166	6512
25	167	6280
26	168	6063
27	168	5862
28	169	5680
29	170	5507
30	170	5340
31	171	5185
32	171	5039
33	172	4902
34	173	4772
35	173	4651
36	174	4534
37	174	4421
38	175	4316
39	175	4217
40	176	4133
41	177	4049
42	178	3964
43	178	3881
44	179	3804
45	179	3732
46	180	3659
47	180	3589
48	181	3522
49	181	3457
50	182	3395
51	182	3335
52	183	3279
53	183	3223
54	184	3169
55	184	3117
56	185	3067
57	185	3019
58	186	2972
59	186	2927
60	187	2884
61	187	2843
62	188	2802
63	188	2762
64	189	2725
65	189	2688
66	190	2654
67	191	2621
68	192	2590
69	192	2558
70	193	2527
71	193	2497
72	194	2467
73	194	2438
74	195	2408
75	195	2380
76	196	2352
77	196	2325
78	197	2301
79	197	2276
80	198	2251
81	198	2226
82	199	2203
83	199	2179
84	200	2158
85	201	2136
86	201	2115
87	202	2094
88	202	2074
89	203	2053
90	203	2032
91	203	2013
92	204	1995
93	204	1975
94	205	1959
95	206	1943
96	207	1927
97	207	1913
98	208	1899
99	209	1883
100	209	1866
101	210	1850
102	210	1834
103	211	1820
104	211	1806
105	212	1791
106	212	1776
107	213	1762
108	213	1747
109	214	1733
110	214	1721
111	215	1708
112	215	1695
113	216	1682
114	217	1670
115	217	1656
116	217	1644
117	218	1633
118	219	1622
119	219	1610
120	220	1600
121	221	1591
122	221	1582
123	222	1573
124	223	1563
125	223	1553
126	224	1541
127	224	1530
128	225	1520
129	225	1509
130	226	1499
131	226	1489
132	227	1480
133	227	1470
134	228	1461
135	228	1450
136	228	1441
137	229	1432
138	229	1423
139	230	1414
140	230	1406
141	231	1397
142	231	1389
143	232	1380
144	232	1372
145	233	1364
146	233	1357
147	234	1350
148	235	1343
149	235	1336
150	236	1330
151	237	1324
152	237	1316
153	238	1309
154	238	1302
155	239	1294
156	239	1288
157	240	1281
158	240	1274
159	241	1267
160	242	1261
161	242	1254
162	242	1247
163	243	1241
164	244	1235
165	244	1229
166	245	1223
167	245	1217
168	246	1211
169	246	1205
170	247	1199
171	248	1194
172	248	1188
173	249	1182
174	249	1177
175	250	1173
176	251	1168
177	251	1163
178	252	1157
179	252	1152
180	253	1146
181	254	1141
182	254	1136
183	255	1131
184	255	1126
185	256	1121
186	256	1115
187	257	1110
188	257	1106
189	258	1101
190	258	1096
191	259	1091
192	259	1086
193	260	1082
194	260	1076
195	261	1072
196	262	1068
197	262	1063
198	263	1059
199	263	1055
200	264	1052
201	265	1049
202	266	1045
203	266	1041
204	267	1037
205	268	1033
206	268	1029
207	269	1025
208	269	1021
209	270	1017
210	270	1012
211	271	1008
212	272	1005
213	272	1001
214	273	997
215	273	993
216	274	989
217	274	985
218	275	982
219	276	979
220	276	975
221	277	971
222	277	968
223	278	964
224	278	960
225	279	958
226	280	955
227	281	952
228	281	949
229	282	945
230	283	942
231	283	938
232	284	935
233	284	931
234	285	928
235	285	925
236	286	921
237	286	918
238	287	915
239	287	911
240	288	909
241	289	907
242	290	904
243	290	901
244	291	898
245	292	895
246	292	892
247	293	889
248	293	886
249	295	885
250	295	882
251	296	879
252	296	876
253	297	873
254	298	870
255	298	868
256	299	865
257	299	862
258	300	859
259	301	856
260	301	854
261	302	851
262	302	848
263	303	845
264	304	843
265	304	840
266	305	838
267	305	835
268	306	832
269	306	829
270	307	827
271	308	825
272	309	823
273	309	821
274	310	819
275	311	817
276	312	814
277	312	812
278	313	809
279	314	807
280	314	805
281	315	802
282	315	800
283	316	797
284	317	795
285	317	793
286	318	791
287	319	789
288	319	786
289	320	784
290	320	781
291	321	779
292	321	776
293	322	774
294	323	772
295	323	769
296	324	768
297	325	766
298	326	764
299	326	762
300	327	760
301	328	758
302	328	756
303	329	753
304	329	751
305	330	749
306	331	747
307	331	745
308	332	743
309	333	741
310	333	739
311	334	736
312	334	734
313	334	731
314	335	729
315	336	727
316	336	725
317	337	723
318	337	720
319	338	718
320	338	717
321	339	715
322	340	714
323	341	712
324	342	710
325	342	708
326	343	706
327	343	704
328	344	702
329	345	700
330	345	699
331	346	697
332	347	695
333	347	693
334	348	691
335	349	689
336	349	687
337	350	686
338	350	684
339	351	682
340	352	680
341	352	678
342	353	676
343	354	675
344	355	674
345	355	672
346	356	670
347	357	669
348	357	667
349	358	665
350	359	663
351	359	662
352	360	660
353	361	659
354	362	657
355	362	656
356	363	654
357	363	652
358	364	651
359	365	649
360	366	648
361	366	646
362	367	644
363	368	643
364	369	642
365	370	641
366	371	640
367	372	638
368	372	637
369	373	635
370	374	634
371	374	632
372	375	631
373	376	629
374	376	627
375	377	625
376	377	624
377	378	622
378	379	621
379	379	619
380	380	617
381	380	616
382	381	614
383	381	612
384	382	611
385	383	610
386	384	608
387	385	607
388	385	606
389	386	604
390	387	603
391	387	601
392	388	600
393	389	598
394	389	597
395	390	595
396	391	593
397	391	592
398	392	590
399	392	589
400	393	587
401	393	585
402	394	584
403	395	582
404	395	581
405	396	579
406	396	578
407	397	576
408	398	575
409	399	574
410	400	573
411	400	572
412	401	570
413	402	569
414	402	567
415	403	566
416	404	564
417	404	563
418	405	561
419	405	560
420	406	558
421	406	557
422	407	556
423	408	554
424	408	553
425	409	551
426	409	550
427	410	548
428	411	547
429	411	545
430	412	544
431	412	542
432	413	541
433	414	540
434	415	539
435	415	537
436	416	536
437	416	534
438	417	533
439	417	531
440	418	530
441	418	528
442	419	527
443	420	525
444	420	524
445	421	523
446	421	521
447	422	520
448	422	519
449	423	517
450	424	516
451	424	514
452	425	513
453	425	512
454	426	510
455	426	509
456	427	507
457	428	507
458	429	506
459	430	505
460	431	504
461	431	502
462	432	501
463	432	499
464	433	498
465	433	497
466	434	495
467	434	494
468	435	493
469	435	491
470	436	490
471	437	489
472	437	487
473	438	486
474	438	485
475	439	483
476	439	482
477	440	481
478	441	479
479	441	478
480	442	477
481	442	475
482	443	474
483	444	473
484	444	472
485	445	471
486	445	469
487	446	468
488	446	467
489	447	465
490	448	464
491	448	463
492	449	461
493	449	460
494	450	459
495	450	457
496	451	456
497	451	455
498	452	453
499	452	452
500	453	451
501	453	450
502	454	448
503	454	447
504	455	446
505	455	445
506	456	443
507	457	442
508	457	441
509	458	440
510	459	439
511	459	438
512	460	436
513	460	435
514	461	434
515	461	433
516	462	432
517	462	430
518	463	429
519	464	428
520	464	427
521	465	425
522	465	424
523	466	423
524	466	422
525	467	420
526	467	419
527	468	418
528	468	417
529	469	416
530	469	415
531	470	413
532	470	412
533	471	411
534	472	410
535	472	409
536	473	408
537	473	406
538	474	405
539	475	404
540	475	403
541	476	402
542	476	401
543	477	400
544	477	398
545	478	397
546	478	396
547	479	395
548	479	394
549	480	393
550	480	391
551	481	390
552	481	389
553	482	388
554	482	387
555	483	386
556	483	384
557	484	383
558	484	382
559	485	381
560	486	380
561	487	379
562	488	378
563	488	377
564	489	376
565	490	375
566	490	374
567	491	373
568	491	372
569	492	371
570	493	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	364
576	496	363
577	496	362
578	497	361
579	498	360
580	498	359
581	499	358
582	499	357
583	500	356
584	500	355
585	501	354
586	502	353
587	502	352
588	503	351
589	504	350
590	504	349
591	505	348
592	505	347
593	506	346
594	506	345
595	507	343
596	507	342
597	508	341
598	509	340
599	509	339
600	510	338
601	510	337
602	511	336
603	511	335
604	512	334
605	512	333
606	513	332
607	513	331
608	514	330
609	515	329
610	515	328
611	516	327
612	517	326
613	517	325
614	518	324
615	519	323
616	520	322
617	520	321
618	521	320
619	521	319
620	522	318
621	523	317
622	523	316
623	524	315
624	524	314
625	525	313
626	525	312
627	526	311
628	526	310
629	527	309
630	527	308
631	528	307
632	529	306
633	529	305
634	530	304
635	531	303
636	531	302
637	532	301
638	532	301
639	533	300
640	534	299
641	534	298
642	535	297
643	535	296
644	536	295
645	537	294
646	537	293
647	538	292
648	538	291
649	539	290
650	540	289
651	541	288
652	541	287
653	542	287
654	543	286
655	543	285
656	544	284
657	544	283
658	545	282
659	545	281
660	546	280
661	546	279
662	547	278
663	548	277
664	549	276
665	549	275
666	550	274
667	550	273
668	551	272
669	551	271
670	552	270
671	552	269
672	553	268
673	553	267
674	554	267
675	555	266
676	555	265
677	556	264
678	556	263
679	557	262
680	558	261
681	558	260
682	559	259
683	559	258
684	560	257
685	560	256
686	561	255
687	561	254
688	562	254
689	563	253
690	564	252
691	564	251
692	565	250
693	565	249
694	566	248
695	566	247
696	567	246
697	567	245
698	568	244
699	568	243
700	569	242
701	570	241
702	570	241
703	571	240
704	571	239
705	572	238
706	572	237
707	573	236
708	573	235
709	574	234
710	574	233
711	575	232
712	575	231
713	576	230
714	576	229
715	577	229
716	578	228
717	579	227
718	579	226
719	580	225
720	581	224
721	581	223
722	582	223
723	582	222
724	583	221
725	584	220
726	584	219
727	585	218
728	585	217
729	586	216
730	587	216
731	587	215
732	588	214
733	588	213
734	589	212
735	589	211
736	590	210
737	591	209
738	591	208
739	592	208
740	593	207
741	593	206
742	594	205
743	595	204
744	595	203
745	596	202
746	596	202
747	597	201
748	597	200
749	598	199
750	599	198
751	599	197
752	600	196
753	600	196
754	601	195
755	602	194
756	602	193
757	603	192
758	603	191
759	604	190
760	604	189
761	605	189
762	605	188
763	606	187
764	606	186
765	607	185
766	608	184
767	609	183
768	609	183
769	610	182
770	610	181
771	611	180
772	611	179
773	612	178
774	612	177
775	613	177
776	614	176
777	614	175
778	615	174
779	615	173
780	616	172
781	616	171
782	617	171
783	617	170
784	618	169
785	619	168
786	619	167
787	620	166
788	620	165
789	621	165
790	621	164
791	622	163
792	622	162
793	623	161
794	624	161
795	624	160
796	625	159
797	626	158
798	626	157
799	627	156
800	627	155
801	628	155
802	629	154
803	629	153
804	630	152
805	630	151
806	631	151
807	632	150
808	632	149
809	633	148
810	633	147
811	634	146
812	634	146
813	635	145
814	635	144
815	636	143
816	637	142
817	637	141
818	638	141
819	639	140
820	640	139
821	640	138
822	641	137
823	642	137
824	642	136
825	643	135
826	643	134
827	644	133
828	644	132
829	645	132
830	645	131
831	646	130
832	646	129
833	647	128
834	648	128
835	648	127
836	649	126
837	650	125
838	651	124
839	651	124
840	652	123
841	653	122
842	654	121
843	655	121
844	656	120
845	657	119
846	657	118
847	658	118
848	659	117
849	659	116
850	660	115
851	661	114
852	662	114
853	662	113
854	663	112
855	663	111
856	664	110
857	664	110
858	665	109
859	665	108
860	666	107
861	667	106
862	668	106
863	668	105
864	669	104
865	669	103
866	670	102
867	670	102
868	671	101
869	671	100
870	672	99
871	673	98
872	673	97
873	674	97
874	674	96
875	675	95
876	675	94
877	676	93
878	677	93
879	677	92
880	678	91
881	678	90
882	679	89
883	679	89
884	680	88
885	680	87
886	681	86
887	682	86
888	683	85
889	683	84
890	684	83
891	684	82
892	685	82
893	685	81
894	686	80
895	686	79
896	687	78
897	688	78
898	688	77
899	689	76
900	689	75
901	690	74
902	690	74
903	691	73
904	691	72
905	692	71
906	692	71
907	693	70
908	693	69
909	694	68
910	694	67
911	695	67
912	696	66
913	696	65
914	697	64
915	698	64
916	698	63
917	699	62
918	699	61
919	700	60
920	700	60
921	701	59
922	702	58
923	702	57
924	703	57
925	703	56
926	704	55
927	704	54
928	705	53
929	706	53
930	706	52
931	707	51
932	707	50
933	708	50
934	708	49
935	709	48
936	709	47
937	710	46
938	710	46
939	711	45
940	712	44
941	713	43
942	713	43
943	714	42
944	714	41
945	715	40
946	715	40
947	716	39
948	717	38
949	717	37
950	718	37
951	719	36
952	719	35
953	720	34
954	720	33
955	721	33
956	721	32
957	722	31
958	723	30
959	724	30
960	724	29
961	725	28
962	725	27
963	726	27
964	727	26
965	728	25
966	728	24
967	729	24
968	730	23
969	730	22
970	731	21
971	731	21
972	732	20
973	732	19
974	733	18
975	734	18
976	734	17
977	735	16
978	735	15
979	736	15
980	736	14
981	737	13
982	738	12
983	738	12
984	739	11
985	739	10
986	740	9
987	740	8
988	741	8
989	742	7
990	742	6
991	743	5
992	743	5
993	744	4
994	745	3
995	745	2
996	746	2
997	746	1
998	747	0
999	747	0
